future_code,market,future_name,clock,date,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
CU2312,DCE,ͭ2312,94859,12/9/2023,68840,68920,68650,0,68960,68870,68880,68870,21,7,5647,63979,68776.067
CU2312,DCE,ͭ2312,94958,12/9/2023,68840,68920,68650,0,68960,68860,68870,68870,9,14,5656,63982,68776.216
CU2312,DCE,ͭ2312,95056,12/9/2023,68840,68920,68650,0,68960,68860,68880,68870,9,31,5659,63984,68776.266
CU2312,DCE,ͭ2312,95156,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,2,14,5669,63990,68776.449
CU2312,DCE,ͭ2312,95255,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,12,31,5669,63990,68776.449
CU2312,DCE,ͭ2312,95359,12/9/2023,68840,68920,68650,0,68960,68850,68860,68860,11,6,5693,64011,68776.828
CU2312,DCE,ͭ2312,95458,12/9/2023,68840,68920,68650,0,68960,68870,68880,68880,10,3,5703,64016,68777.009
CU2312,DCE,ͭ2312,95558,12/9/2023,68840,68920,68650,0,68960,68860,68880,68880,21,8,5706,64019,68777.063
CU2312,DCE,ͭ2312,95659,12/9/2023,68840,68920,68650,0,68960,68850,68860,68860,11,7,5707,64018,68777.077
CU2312,DCE,ͭ2312,95759,12/9/2023,68840,68920,68650,0,68960,68840,68860,68860,21,9,5707,64018,68777.077
CU2312,DCE,ͭ2312,95858,12/9/2023,68840,68920,68650,0,68960,68830,68850,68840,13,13,5709,64019,68777.101
CU2312,DCE,ͭ2312,95959,12/9/2023,68840,68920,68650,0,68960,68850,68860,68850,4,25,5725,64027,68777.305
CU2312,DCE,ͭ2312,100059,12/9/2023,68840,68920,68650,0,68960,68830,68850,68850,15,16,5744,64034,68777.523
CU2312,DCE,ͭ2312,100155,12/9/2023,68840,68920,68650,0,68960,68850,68870,68860,6,29,5765,64033,68777.787
CU2312,DCE,ͭ2312,100258,12/9/2023,68840,68920,68650,0,68960,68840,68860,68860,11,8,5769,64031,68777.844
CU2312,DCE,ͭ2312,100358,12/9/2023,68840,68920,68650,0,68960,68840,68870,68860,46,8,5769,64031,68777.844
CU2312,DCE,ͭ2312,100459,12/9/2023,68840,68920,68650,0,68960,68840,68870,68860,18,18,5769,64031,68777.844
CU2312,DCE,ͭ2312,100555,12/9/2023,68840,68920,68650,0,68960,68830,68850,68860,15,15,5775,64037,68777.929
CU2312,DCE,ͭ2312,100659,12/9/2023,68840,68920,68650,0,68960,68860,68870,68860,11,28,5789,64027,68778.127
CU2312,DCE,ͭ2312,100758,12/9/2023,68840,68920,68650,0,68960,68840,68850,68840,1,26,5802,64020,68778.304
CU2312,DCE,ͭ2312,100859,12/9/2023,68840,68920,68650,0,68960,68820,68830,68840,1,13,5819,64020,68778.457
CU2312,DCE,ͭ2312,100957,12/9/2023,68840,68920,68650,0,68960,68800,68820,68810,26,14,5829,64020,68778.511
CU2312,DCE,ͭ2312,101058,12/9/2023,68840,68920,68650,0,68960,68790,68810,68790,17,13,5869,64030,68778.652
CU2312,DCE,ͭ2312,101159,12/9/2023,68840,68920,68650,0,68960,68780,68790,68790,13,7,5879,64032,68778.675
CU2312,DCE,ͭ2312,101257,12/9/2023,68840,68920,68650,0,68960,68780,68800,68780,10,25,5898,64019,68778.674
CU2312,DCE,ͭ2312,101359,12/9/2023,68840,68920,68650,0,68960,68780,68800,68790,5,16,5913,64017,68778.701
CU2312,DCE,ͭ2312,101458,12/9/2023,68840,68920,68650,0,68960,68780,68800,68790,6,1,5913,64017,68778.701
CU2312,DCE,ͭ2312,101500,12/9/2023,68840,68920,68650,0,68960,68780,68800,68790,6,1,5913,64017,68778.701
CU2312,DCE,ͭ2312,101500,12/9/2023,68840,68920,68650,0,68960,68780,68800,68790,6,1,5913,64017,68778.701
CU2312,DCE,ͭ2312,103059,12/9/2023,68840,68920,68650,0,68960,68740,68750,68740,1,9,6095,64061,68777.734
CU2312,DCE,ͭ2312,103157,12/9/2023,68840,68920,68650,0,68960,68740,68760,68730,27,7,6155,64061,68777.391
CU2312,DCE,ͭ2312,103259,12/9/2023,68840,68920,68650,0,68960,68730,68740,68730,3,5,6186,64060,68777.203
CU2312,DCE,ͭ2312,103358,12/9/2023,68840,68920,68650,0,68960,68760,68770,68760,25,6,6203,64051,68777.127
CU2312,DCE,ͭ2312,103458,12/9/2023,68840,68920,68650,0,68960,68760,68780,68770,6,25,6341,63967,68776.997
CU2312,DCE,ͭ2312,103558,12/9/2023,68840,68920,68650,0,68960,68760,68780,68760,4,13,6346,63968,68776.993
CU2312,DCE,ͭ2312,103657,12/9/2023,68840,68920,68650,0,68960,68740,68760,68740,10,11,6389,63959,68776.788
CU2312,DCE,ͭ2312,103759,12/9/2023,68840,68920,68650,0,68960,68730,68740,68730,2,6,6404,63955,68776.711
CU2312,DCE,ͭ2312,103858,12/9/2023,68840,68920,68650,0,68960,68750,68770,68760,23,5,6415,63953,68776.667
CU2312,DCE,ͭ2312,103958,12/9/2023,68840,68920,68650,0,68960,68750,68770,68770,5,6,6426,63958,68776.634
CU2312,DCE,ͭ2312,104057,12/9/2023,68840,68920,68650,0,68960,68730,68760,68740,26,16,6456,63958,68776.49
CU2312,DCE,ͭ2312,104156,12/9/2023,68840,68920,68650,0,68960,68730,68750,68730,12,8,6457,63959,68776.483
CU2312,DCE,ͭ2312,104252,12/9/2023,68840,68920,68650,0,68960,68730,68750,68730,27,8,6457,63959,68776.483
CU2312,DCE,ͭ2312,104359,12/9/2023,68840,68920,68650,0,68960,68730,68750,68730,11,8,6467,63963,68776.423
CU2312,DCE,ͭ2312,104458,12/9/2023,68840,68920,68650,0,68960,68720,68740,68720,9,7,6473,63965,68776.377
CU2312,DCE,ͭ2312,104557,12/9/2023,68840,68920,68650,0,68960,68720,68740,68730,15,9,6498,63974,68776.162
