future_code,market,future_name,clock,date,open_price,max_price,min_price,close_price,yesterday_price,buy_price,sell_price,newest_price,buy_amount,sell_amount,amount,volume,everage_price
CU2312,DCE,ͭ2312,90059,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68830.0,68840.0,68830.0,10.0,5.0,4662.0,64015.0,68761.793
CU2312,DCE,ͭ2312,90159,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68810.0,68820.0,68820.0,15.0,1.0,4670.0,64018.0,68761.901
CU2312,DCE,ͭ2312,90259,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68790.0,68810.0,68800.0,10.0,10.0,4708.0,64009.0,68762.177
CU2312,DCE,ͭ2312,90359,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68780.0,68800.0,68780.0,23.0,4.0,4727.0,64006.0,68762.295
CU2312,DCE,ͭ2312,90459,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68780.0,68800.0,68790.0,24.0,13.0,4751.0,64017.0,68762.402
CU2312,DCE,ͭ2312,90559,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68800.0,68810.0,68800.0,2.0,19.0,4768.0,64005.0,68762.538
CU2312,DCE,ͭ2312,90659,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68780.0,68800.0,68800.0,19.0,6.0,4788.0,64003.0,68762.713
CU2312,DCE,ͭ2312,90758,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68790.0,68810.0,68790.0,25.0,7.0,4797.0,63995.0,68762.764
CU2312,DCE,ͭ2312,90854,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68810.0,68820.0,68810.0,14.0,8.0,4808.0,63994.0,68762.883
CU2312,DCE,ͭ2312,90959,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68780.0,68790.0,68800.0,14.0,2.0,4844.0,63999.0,68763.179
CU2312,DCE,ͭ2312,91058,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68770.0,68790.0,68780.0,21.0,12.0,4854.0,63993.0,68763.23
CU2312,DCE,ͭ2312,91159,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68780.0,68800.0,68780.0,37.0,4.0,4862.0,63999.0,68763.258
CU2312,DCE,ͭ2312,91259,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68800.0,68810.0,68790.0,12.0,1.0,4884.0,64005.0,68763.385
CU2312,DCE,ͭ2312,91359,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68800.0,68820.0,68800.0,45.0,2.0,4891.0,64001.0,68763.445
CU2312,DCE,ͭ2312,91453,2023-09-13,68840.0,68910.0,68650.0,0.0,68960.0,68830.0,68840.0,68830.0,12.0,3.0,4923.0,64029.0,68763.833
